Company/Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage
Airmeet,2019,Bangalore,Technology,"Airmeet is an all-in-one events platform for virtual summits, meetups, and workshops that includes virtual social lounge","Lalit Mangal, Manoj Singh, Vinay Kumar Jasti","Global Founders Capital, Redpoint",12000000.0,Series A
Observe ai,2017,San Francisco,Technology,"Observe.AI develops a voice AI platform for contact centers, turning agents into top performers.","Akash Singh, Sharath Keshava Narayana, Swapnil Jain","01 Advisors, Steadview Capital",54000000.0,Series B
InCred,2016,Mumbai,Finance,"Provide loans for all your needs like personal loan for wedding, education loan, business loan",Bhupinder Singh,"Pushpak Credit, Fiscal",5000000.0,Debt Financing
Toppr,2013,Mumbai,Education,Toppr is an Indian educational technology and online tutoring firm,"Zishaan Hayath, Hemanth Goteti","Kaizenvest, Foundation Holdings",35000000.0,Later Stage
CarTrade,2009,Mumbai,Retail,Buy and Sell Used Cars,Vinay Sanghi,"Pincus, JP Morgan, Temasek, March Capital",42500000.0,Later Stage
LEAD School,2012,Mumbai,Education,Offers a high-end digital classroom system focused on enhancing the learning experience,"Sumeet Mehta, Smita Deorah","Westbridge Capital, Elevar Equity",28000000.0,Series C
Servify,2015,Mumbai,Manufacturing,"Enables top OEMs & ODMs in device distribution, sales, warranty",Sreevathsa Prabhakar,"Blume Ventures, Tetrao",11370000.0,Series C
Lido Learning,2019,Mumbai,Education,"Online classes for Std 4-9 in Math, Science, Coding, English & Leadership with top 1% tutors ?",Sahil Sheth,"BAce Capital, Madhur Deora",7500000.0,Series B
Apna.co,2019,Bangalore,Marketing and advertising,Can find all types of jobs from entry level to experienced people in over 60+ categories.,Nirmit Parikh,"Lightspeed India, Sequoia Capital India",8000000.0,Series A
Quintype Technologies,2014,Bangalore,Technology,"Building a suite of digital publishing solutions to simplify content creation, distribution",Amit Rathore,"IIFL Asset Management, Raghav Bahl",325000.0,Series A
Dunzo,2014,Bangalore,Technology,Order online and get free delivery from your nearby restaurants,"Kabeer Biswas, Ankur Agarwal, Dalvir Suri, Mukund Jha","Wes Schwalje, Alteria Capital",28000000.0,Later Stage
Entropik,2016,Bangalore,Technology,Gain insights into human emotions with AI-powered platform affect lab.,Ranjan Kumar,"IDFC-Parampara Fund, Bharat Innovation Fund",8000000.0,Series A
Livspace,2014,Bangalore,Services,Interior design marketplace that connects interior designers,"Anuj Srivastava, Ramakant Sharma","Mercer Investments, Nicholas Cator",9000000.0,Later Stage
Ultraviolette Automotive,2015,Bangalore,Technology,Industries Automotive Electric Vehicle Energy Energy Storage,"Narayan Subramaniam, Niraj Rajmohan",TVS Motor Company,410000.0,Series B
WinZO,2016,New Delhi,Technology,WinZO is a mobile e-Sports gaming platform in India. It is available in 10 regional languages of India.,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures",18000000.0,Series B
SenseHawk,2016,Bangalore,Technology,SenseHawk is a SaaS platform that helps improve processes and saves cost in the development,"Swarup Mavanoor, Rahul Sankhe","Falcon Edge Capital, SAIF Partners",5000000.0,Series A
Railofy,2019,Mumbai,Technology,Enables waitlisted passengers to reach their destination at the lowest possible price if their ticket is not,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi",Chiratae Ventures.,900000.0,Seed
Eloelo,2020,Bangalore,E-commerce,"Social Commerce Venture for Wellness. View company info, jobs, team members, culture, funding and more.","Saurabh Pandey, Akshay Dubey",unknown,450000.0,Seed
Aibono,2014,Bangalore,Agriculture,A next dimension food & farming platform that unites two ends of the food chain from growing to consuming,Vivek Rajkumar,"Menterra Venture Advisors, Rianta Capital",2000000.0,Pre-Series
BuildPan,2019,Indore,Technology,"Buildpan helps you with continuous build, development and user feedback for iOS and Android development.","Sonal Dandotia, Shantanu S, Virendra Chouhan, Vaibhav Tiwari","Sunil Kumar Singhvi, Yusho Kawata",500000.0,Seed
Homelane,2014,Bangalore,Services,Explore 1000's of fully customizable home interior designs.,"Rama Harinath, Srikanth Iyer","Accel Partners, Sequoia Capital, Evolvence India, JSW Ventures",8000000.0,Pre-Series
MyGlamm,2015,Mumbai,Lifestyle,Buy Makeup kit & Cosmetics Products from international makeup brand,Darpan Sanghvi,Bessemer Venture Partners,1000000.0,Series B
Aviom,2016,New Delhi,Finance,A social impact focused housing finance company catering to housing needs of customers in semi urban areas,Kajal Ilmi,"Insitor Partners, C4D Partners",682000.0,Debt Financing
Flinto,2013,Chennai,Education,Flintobox is an India-based company that produces educational activity boxes for children,"Arunprasad Durairaj, Vijaybabu Gandhi, Shreenidhi Srirangam","Sinai Ventures, Y Combinator",7000000.0,Series A
WayCool,2015,Chennai,Agriculture,WayCool is a social enterprise positively impacting the lives of India's farmers,"Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",5060000.0,Series C
YAP,2014,Chennai,Technology,Create your own stream of Neo-banking and Deposit products using our bank-grade APIs,"Madhusudanan R, Prabhu R","Jitendra Gupta, Better Capital",4050000.0,Series A
Big Bang Boom Solutions,2018,Chennai,Technology,It aims to co-create intellectual property that can reside within the borders of the country.,"Dr. R. Shivaraman, Praveen Dwarakanath","Mumbai Angels, Defence Innovation Organisation",1050000.0,Series A
GUVI,2014,Chennai,Education,Operates vernacular-language based education tech startup,Arun Prakash,"CBA Capital, Gray Matters Capital",800000.0,Series A
BluSmart,2019,Gurugram,Energy,"BluSmart, an all-electric ride-hailing platform","Anmol Singh Jaggi, Punit K Goyal","Kalpavriksh, JITO Angel Network",7000000.0,Pre-Series
Cell Propulsion,2017,Bangalore,Manufacturing,Designs and develops electric power drives and autonomous electric mobility solutions,"Nakul Kukar, Paras Kaushal, Supratim Naskar","growX ventures, Sangam Ventures",3000000.0,Pre-Series
MPL,2018,Bangalore,Media & Entertainment,Mobile Premier League (also known as MPL) is the mobile e-Sports platform,"Sai Srinivas Kiran Garimella, Shubham Malhotra","Sequoia Capital India, Times Internet",50000000.0,Series B
