Company/Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage
Aqgromalin,2019,Chennai,Agriculture,Cultivating Ideas for Profit,"Prasanna Manogaran, Bharani C L",Angel investors,200000.0,Unknown Stage
Krayonnz,2019,Bangalore,Education,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,"Saurabh Dixit, Gurudutt Upadhyay",GSF Accelerator,100000.0,Pre-Seed
PadCare Labs,2018,Pune,Health,Converting bio-hazardous waste to harmless waste,Ajinkya Dhariya,Venture Center,3000000.0,Pre-Seed
NCOME,2020,New Delhi,Finance,Escrow-as-a-service platform,Ritesh Tiwari,"Venture Catalysts, PointOne Capital",400000.0,Unknown Stage
Gramophone,2016,Indore,Agriculture,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,"Ashish Rajan Singh, Harshit Gupta, Nishant Mahatre, Tauseef Khan","Siana Capital Management, Info Edge",340000.0,Unknown Stage
qZense,2019,Bangalore,Agriculture,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,"Rubal Chib, Dr Srishti Batra","Venture Catalysts, 9Unicorns Accelerator Fund",600000.0,Seed
MyClassboard,2008,Hyderabad,Education,MyClassboard is a full-fledged School / College Management Software.,Ajay Sakhamuri,ICICI Bank.,600000.0,Pre-Series
Metvy,2018,Gurgaon,Technology,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,Shawrya Mehrotra,HostelFund,3000000.0,Pre-Series
Rupeek,2015,Bangalore,Finance,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.","Amar Prabhu, Ashwin Soni, Sumit Maniyar","KB Investment, Bertelsmann India Investments",45000000.0,Series C
Gig India,2017,Pune,E-commerce,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",1000000.0,Pre-Series
Slurrp Farm,2016,Gurgaon,Food and Beverages,Slurrp Farm is a children health food brand.,Meghana Narayan,Fireside Ventures,2000000.0,Series A
Medfin,2017,Bangalore,Health,Medfin is a Discovery platform for medical procedures and financing.,"Arjun Kumar, Arun Kumar, Sidharth Gurjar","Axilor Ventures, S.D. Shibulal",3000000.0,Series A
MasterG,2015,New Delhi,Lifestyle,MasterG is a design and skill development organisation.,Gayatri Jolly,Acumen Fund's angel programme,3000000.0,Unknown Stage
Brila 91,2014,New Delhi,Food and Beverages,Bira 91 is a craft beer company.,Ankur Jain,"Sequoia Capital India, Sixth Sense Ventures",1200000.0,Unknown Stage
FoodyBuddy,2015,Belgaum,Food and Beverages,FoodyBuddy is a online food delivery portal,"Akil Sethuraman, Anup Gopinath, Rachna Rao",Rebel Foods,600000.0,Unknown Stage
Zomato,2008,Gurgaon,Transportation & Logistics,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,"Deepinder Goyal, Gaurav Gupta, Pankaj Chaddah","Kora, Tiger Global Management",660000000.0,Unknown Stage
OurEye.ai,2020,Bangalore,Technology,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.","Miran Junaidi, Saurabh Ghanekar, Sourav Sanyal","100X VC, Amara Ventures",120000.0,Unknown Stage
Shiprocket,2017,New Delhi,E-commerce,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,"Gautam Kapoor, Saahil Goel, Vishesh Khurana","Bertelsmann India Investments, InnoVen Capital",7500000.0,Series C
Pine Labs,1998,Noida,Finance,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,Amrish Rau,"Mastercard, Temasek Holdings",3000000.0,Unknown Stage
Moneyboxx Finance,2019,New Delhi,Finance,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,Prashant Agarwal,"BlackSoil, Caspian",1000000.0,Unknown Stage
EWar,2019,Bangalore,Technology,EWar Games is a e-sports and real-time gaming start-up.,"Parth Chadha, Rahul Singh","Jindal Steels, Jeet Banerjee",3000000.0,Pre-Series
SucSEED Indovation,2016,Hyderabad,Finance,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",Vikrant Varshney,unknown,5000000.0,Unknown Stage
TaxBuddy.com,2019,Mumbai,Finance,TaxBuddy for any tax related issues.,Sujit Bangar,Zenith Global,1000000.0,Unknown Stage
Awign Enterprises,2016,Bangalore,Lifestyle,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",500000.0,Unknown Stage
Circle of Angels,2018,Gurgaon,Finance,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,Karanpal Singh,unknown,3000000.0,Unknown Stage
CoinDCX,2017,Mumbai,Finance,CoinDCX is a company that specializes in crypto-enabled financial services.,"Neeraj Khandelwal, Sumit Gupta","Coinbase Ventures, Polychain",10000000.0,Series B
Glance,2016,Bangalore,Technology,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,Naveen Tewari,Mithril Capital Management.,145000000.0,Unknown Stage
VerSe Innovation,2007,Bangalore,Technology,Owner of Dailyhunt App and I-Pay,Virendra Gupta,Google,100000000.0,Unknown Stage
Voosh,2020,Bangalore,Food and Beverages,Building India's largest digital food service brand,Priyam Saraswat,Better Capital,3000000.0,Pre-Seed
Delhivery,2011,Gurgaon,E-commerce,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,"Kapil Bharati, Mohit Tandon, Sahil Barua, Suraj Saharan","Steadview Capital, Canada Pension Plan Investment Board",3000000.0,Unknown Stage
Arya,1982,Noida,Agriculture,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation","Chattanathan Devarajan, Prasanna Rao, Anand Chandra",Quona Capital,21000000.0,Series B
Pickrr,2015,New Delhi,Transportation & Logistics,Pickrr is an on-demand first mile logistics company,"Ankit Kaushik, Gaurav Mangla, Rhitiman Majumder",Swastika,4000000.0,Unknown Stage
PhonePe,2015,Andheri,Finance,PhonePe is a mobile payment application that enables users to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam","Flipkart, Walmart",20000000.0,Unknown Stage
Countingwell,2018,Bangalore,Education,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",Nirmal Shah,"Delhi Private School, UAE, Interstar",1000000.0,Pre-Series
Callify.ai,2016,Mumbai,Technology,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,"Chetan Indap, Sunny Sharma, Deepanti Kavi",Malpani Ventures,560000.0,Seed
Hudle,2016,New Delhi,Sports,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,Suhail Narain,Survam Partners,3000000.0,Pre-Series
Cover it Up,2013,Chennai,E-commerce,Online portal that churns out high quality products,Ronak Sarda,Angel investors,400000.0,Seed
BiteSpeed,2019,Gurgaon,E-commerce,Chat-based commerce for E-commerce brands,"Vinayak, Kshitij Abhishek, Apoorv Sadana",Whiteboard Capital,275000.0,Seed
WakeFit,2016,Bangalore,Retail,Wakefitkart is a mattress manufacturing company,"Ankit Garg, Chaitanya Ramalingegowda",Sequoia Capital.,20000000.0,Series B
Sreyas Holistic Remedies,2008,Hyderabad,Health,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,Dr Prashant Soma,Blacksoil,1000000.0,Unknown Stage
Fleeca India,2016,Jaipur,Engineering,FLEECA is a Tyre Care Provider company.,Tikam Jain,Bridgestone India,3000000.0,Unknown Stage
M1xchange,2017,Gurgaon,Finance,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,Sundeep Mohindru,"BEENEXT, Mayfield Fund",4500000.0,Unknown Stage
Exotel,2011,Bangalore,Technology,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,Shivakumar Ganesan,"A91 Partners, Artha India Ventures",5000000.0,Unknown Stage
PagarBook,2019,Bangalore,Technology,"Staff's Salary, Work & Attendance Management Application","Adarsh Kumar, Rupesh Mishra","Sequoia Capital, India Quotient",15000000.0,Series A
PointOne Capital,2020,Bangalore,Finance,Pre-seed/Seed focussed VC investor,Mihir Jha,unknown,3000000.0,Unknown Stage
Ayana,2017,Bangalore,Energy,Ayana Renewable Power is an Indian renewable energy platform,Shivanand N,"NIIF Ltd, CDC Group",390000000.0,Unknown Stage
Fisdom,2015,Bangalore,Finance,Fisdom is a fintech company that offers investment advisory services through an application.,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V., Subramanya Venkat","PayU Finance India, Quona Capital",7000000.0,Unknown Stage
Tinker Coders,2020,Noida,Education,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,Anoop Gautam,STEMROBO Technologies,3000000.0,Seed
Infinite Uptime,2015,Pune,Technology,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,Raunak Bhinge,"Infrastructure Leasing & Financial Services Limited, Dorm Room Fund",5100000.0,Series B
HappyLocate,2016,Bangalore,Technology,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed","Ajay Tiwari, Sainadh Duvvuru",The CoWrks Foundry,500000.0,Pre-Series
PhonePe,2015,New Delhi,Finance,PhonePe is a mobile payments application that allows the user to transfer money instantly.,"Burzin Engineer, Rahul Chari, Sameer Nigam",Flipkart,700000000.0,Unknown Stage
Loop Health,2017,Pune,Health,Loop Health is bringing ease and choice to patients seeking major medical treatments.,"Mayank Kale, Ryan Singh","Y Combinator, Sierra Ventures",2300000.0,Seed
NeoDocs,2020,Mumbai,Health,Neodocs analyses medical reports and provides personalised health recommendations remotely.,"Anurag Meena, Nikunj Malpani, Pratik Lodha",9Unicorns Accelerator Fund,3000000.0,Pre-Seed
The ePlane,2016,Chennai,Manufacturing,Transforming the mobility landscape using aerial transport.,"Satya Chakravarthy, Pranjal Mehta",Speciale Invest,3000000.0,Seed
TagMango,2019,Mumbai,Marketing and advertising,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.","Divyanshu Damani, Mohammad Hasan","XRM Media, Kevin Lin",700000.0,Seed
The New Shop,2019,New Delhi,Retail,The New Shop is a chain of high speed retail stores,"Charak Almast, Aastha Almast, Mani Dev Gyawali",Huddle Accelerator,500000.0,Seed
MobiKwik,2009,Gurgaon,Finance,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.","Bipin Singh, Upasana Taku","Hindustan Media Venture, Nicolas Jarrosson",7000000.0,Unknown Stage
DebugsBunny,2020,Pune,Education,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,Sumit Sanjay Singare,India Angel Fund,100000.0,Unknown Stage
BHIVE Investech,2014,Bangalore,Real Estate,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,"Monnappa Bayavanda, Prashant Reddy, Ravindra M.K, Ravindra M.K., Shesh Paplikar, Shesh Paplikar, Sridhar Venkataraman",Blume Ventures,1000000.0,Seed
Rivigo,2014,Gurgaon,Transportation & Logistics,Rivigo is a technology-enabled logistics platform provider that offers transport services.,"Deepak Garg, Gazal Kalra","Elevation Capital, Trifecta Capital Advisors",19000000.0,Unknown Stage
ZipLoan,2015,New Delhi,Finance,ZipLoan is a online lending platform,"KSHITIJ Puri, Shalabh Singhal","Stride Ventures, Matrix Partners India",3000000.0,Unknown Stage
Swipez,2014,Pune,Finance,Swipez is a payment collection platform.,Vivek Iyer,"9Unicorns, Anicut",3000000.0,Unknown Stage
Humus,2019,Bangalore,Agriculture,Farmgate to Retail outlet Agri-Fresh produce supply chain,"Manjunatha T N, Shilpa Gopalaiah","Venture Catalysts, 9Unicorns, We Founders Circle.",3000000.0,Unknown Stage
Artivatic.ai,2017,Bangalore,Technology,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",Layak Singh,"SenseAI Ventures, Saurabh Chugh",3000000.0,Unknown Stage
Prescinto,2016,Ahmedabad,Energy,Prescinto provides solutions for solar monitoring and analytics solutions.,"Puneet Singh Jaggi, Sanjay Bhasin, Ram Menon","Startup incubator, Accelerator Venture Catalysts",3000000.0,Seed
Toppeq,2019,Mumbai,Technology,SaaS-based equity management platform,Nandini Sankar,unknown,3000000.0,Seed
Bolo Indya,2019,Gurgaon,Technology,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.","Tanmai Paul, Varun Saxena","India Accelerator, Sunil Kamath",400000.0,Unknown Stage
Bombay Play,2017,Bangalore,Technology,Bombay Play is a Card and Toy Company Making games for India.,"Abhas Saroha, Oliver Jones, Oliver Jones","Ramakant Sharma, Leo Capital India",1000000.0,Seed
FreshToHome,2015,Bangalore,E-commerce,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,Shan Kadavil,Investment Corporation of Dubai (ICD),3000000.0,Unknown Stage
KIKO TV,2020,Mumbai,Technology,KIKO TV is an AI-based short live video e-commerce platform.,"Shivam Varshney, Alok Chawla","9Point8 Capital, Sunil Kumar Singhvi",3000000.0,Seed
Atomberg Technologies,2012,Mumbai,Retail,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances","Manoj Meena, Sibabrata Das","Sandeep Tandon, Survam Partners",9000000.0,Series B
DealShare,2018,Jaipur,E-commerce,DealShare is a Social Commerce Startup,"Sankar Bora, Sourjyendu Medda, Vineet Rao","Falcon Edge Capital, Omidyar Network",21000000.0,Series C
Smallcase,2015,Bangalore,Finance,Changing how India invests in equities,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","WEH Ventures, BEENEXT",3000000.0,Unknown Stage
CueMath,2011,Bangalore,Education,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,Manan Khurma,"Sequoia Capital India, CapitalG",40000000.0,Series C
Gamerji,2018,Ahmedabad,Technology,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.","Soham Thacker, Valay Patel, Varun Gajjar",La Gajjar Group.,3000000.0,Seed
5C Network,2014,Bangalore,Health,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",Kalyan Sivasailam,"Axilor Ventures, Unitus Ventures",1200000.0,Pre-Series
Ethereum Push Notification Service,2020,Mumbai,Technology,EPNS is a decentralized notification protocol,"Harsh Rajat, Richa Joshi",Prolific angel investors,750000.0,Seed
Mihup,2016,Kolkata,Technology,Intelligence-based personal mobile assistant app,"Biplab Chakraborty, Sandipan Chattopadhyay, Sandipan Mandal, Tapan Barman","Ideaspring Capital, Accel",1500000.0,Series A
RuralBasket,2019,Tirunelveli,E-commerce,Naturally grown and healthy products directly from farmers.,Palani Rajan,Nativelead Foundation,500000.0,Unknown Stage
WayCool Foods,2015,Chennai,Agriculture,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.","Karthik Jayaraman, Sanjay Dasari","FMO, IndusInd Bank",7800000.0,Debt Financing
Infra.Market,2016,Thane,Real Estate,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,"Aaditya Sharda, Souvik Sengupta","Trifecta Capital Advisors, Nexus Venture Partners",20000000.0,Series B
Info Edge Venture,1995,Noida,Finance,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",Sanjeev Bikhchandani,Lightbox,50000000.0,Unknown Stage
Clovia,2013,Noida,E-commerce,Clovia is the online lingerie retailer,"Neha Kant, Pankaj Vermani","Golden Birch Investments, She Capital",4000000.0,Series B
Codingal,2020,Bangalore,Education,Coding education platform for K-12 students,"Satyam Baranwal, Vivek Prakash","Pras Hanuma, Rebright Partners, Java Capital, and GSF Accelerator.",560000.0,Seed
CRED,2018,Bangalore,Finance,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,Kunal Shah,"General Catalyst, Ribbit Capital",80000000.0,Series C
Vistaar Finance,2010,Bangalore,Finance,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,"Brahmanad, Ramakrishna Nishtala",FMO,30000000.0,Unknown Stage
Let's Dive,2020,Bangalore,Technology,A platform for remote employee engagement and building team culture,"Nitesh Agrawal, Om Prakash",Surge,1700000.0,Unknown Stage
Habitat,2016,Bangalore,Education,"Habitat, a social learning edtech platform for civil service aspirants","Rohit Pande, Shikhar Sachan","Unitus Ventures, Whiteboard Capital",600000.0,Seed
SAWO Labs,2020,Mumbai,Technology,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,Prabhat Sahu,"StartupXseed Ventures, 100X.VC",600000.0,Seed
Signzy,2015,Bangalore,Technology,Signzy are creating 'building blocks for a Digital Trust system.,"Ankit Ratan, Ankur Pandey, Arpit Ratan","Stellaris Venture Partners, Mastercard",3000000.0,Unknown Stage
KopyKitab,2013,Bangalore,Education,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.","Amit Shrivastava, Sumeet Verma","Paula Mariwala, Siddharth Anand",3000000.0,Unknown Stage
Kyt,2020,Singapore,Education,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,"Bhavik Rathod, Tripti Ahuja",Sequoia Capital India’s Surge,2500000.0,Unknown Stage
Raskik,2019,Bangalore,Food and Beverages,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,"Vikas Chawla, Abhay Parnerkar, Satyajit Ram","Venture Catalysts, 9Unicorns",1000000.0,Pre-Series
GetWork,2019,Gurugram,Human Resources,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,Rahul Veerwal,India Accelerator,40000.0,Pre-Seed
Mobile Premier League (MPL),2018,Bangalore,Technology,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",500000.0,Series B
Pravasirojgar,2020,Bangalore,Marketing and advertising,Initiative for blue-collar job workers,Sonu Sood,GoodWorker.,33000000.0,Unknown Stage
Omatra Hotels,2017,Kolkata,Hospitality,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,"NAVEED AHAMED, SYED SAQQA ABBAS",Capify,3000000.0,Seed
Awign,2016,Bangalore,Marketing and advertising,Operations and manpower outsourcing startup,"Annanya Sarthak, Gurpreet Singh, Praveen Sah","Unitus Ventures, Work10M",3000000.0,Series A
NewsReach,2018,Gujarat,Media & Entertainment,NewsReach India offers partner publications a digital footprint and monetisation of their content via advertisements.,"Darshan Shah, Soniya Kundnani","Mumbai Angels, JITO Angel Network.",1500000.0,Seed
Cashfree,2015,Bangalore,Finance,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,"Akash Sinha, Reeju Datta","George Osborne, Smilegate Investment",35000000.0,Series B
Credgenics,2018,New Delhi,Finance,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000.0,Pre-Series
GeoIQ,2018,Bangalore,Technology,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.","Devashish Fuloria, Tusheet Shrivastava, Ankita Thakur","Ankur Mittal, Mitesh Shah",300000.0,Seed
Country Delight,2015,Haryana,Agriculture,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","IIFL Asset Management, Matrix Partners",25000000.0,Series C
Quintype,2014,Bangalore,Services,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",Chirdeep Shetty,IIFL AMC,3500000.0,Series A
CARS24,2015,Haryana,Retail,CARS24 is an India-based platform for selling used cars.,"Mehul Agrawal, Ruchit Agarwal, Vikram Chopra","Global Car Group, Freemark holdings",200000000.0,Later Stage
Astrogate Labs,2017,Bangalore,Engineering,Astrogate Labs provides high-quality products related to space infrastructure.,unknown,"Venture Catalysts, Speciale Invest",3000000.0,Unknown Stage
Power Gummies,2018,New Delhi,Health,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,Divij Bajaj,Venture Catalysts,3000000.0,Pre-Series
Cityflo,2015,Mumbai,Transportation & Logistics,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,"Advaith Vishwanath, Ankit Agrawal, Jerin Venad, Rushabh Shah, Sankalp Kelshikar, Subhash Sundaravadivelu","Anupam Mittal, India Quotient",7000000.0,Series A
AlgoBulls,2019,Mumbai,Technology,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,"Pushpak Dagade, Jimmit Patel and Suraj Bathija",Venture Catalysts,200000.0,Unknown Stage
Credgenics,2018,Gurugram,Finance,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction","Anand Agrawal, Mayank Khera, Rishabh Goel","Accel India, Breadlake Ventures",3000000.0,Pre-Series
Inntot,2014,Kerala,Technology,"Inntot Technologies, is a technology driven company.",Rajith Nair,Unicorn India Ventures,3000000.0,Unknown Stage
Ensuredit,2019,Gurugram,Finance,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,"Amit, Rohit Sadhu, and Vikas Ranga",Venture Catalysts,300000.0,Pre-Series
Shipsy,2015,Gurugram,Technology,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,"Dhruv Agrawal, Himanshu Gupta, Soham Chokshi","DTDC, Udaan Angel Partners",6000000.0,Series A
ERPNext,2008,Mumbai,Technology,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",Rushabh Mehta,Rainmatter,1000000.0,Unknown Stage
LightSpeedAI,2019,Bangalore,Media & Entertainment,Developer of an optoelectronic processor designed to accelerate AI computations.,"Rohin Y, PV Ramana","YourNest, growX ventures",3000000.0,Unknown Stage
Grip Invest,2020,Gurugram,Finance,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,"Nikhil Aggarwal, Vivek Gulati",Gemba Capital,3000000.0,Pre-Series
Unacademy,2015,Bangalore,Education,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta","Dragoneer Investment Group, Tiger Global Management",3000000.0,Unknown Stage
Yellow Classes,2020,Gurugram,Education,New-age fun-learning platform for kids.,"Arpit Mittal, Anshul Gupta",India Quotient,1300000.0,Pre-Series
Plum,2019,Bangalore,Health,High quality health insurance and health benefits,"Abhishek Poddar, Saurabh Arora","Surge, Tanglin Venture Partners",4100000.0,Unknown Stage
STAGE,2019,Indore,Media & Entertainment,STAGE is an Indian language content platform for artist-led entertainment.,"Shashank Vaishnav, Vinay Singhal, Parveen Singhal",Venture Catalysts,1000000.0,Unknown Stage
Nykaa,2012,Mumbai,Manufacturing,Nykaa is an online marketplace for different beauty and wellness products.,Falguni Nayar,"Alia Bhatt, Katrina Kaif",3000000.0,Unknown Stage
Kaagaz Scanner,2020,Bangalore,Technology,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,"Snehanshu Gandhi, Gaurav Shrishrimal",Pravega Ventures,575000.0,Unknown Stage
NIRA,2017,Bangalore,Finance,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.","Rohit Sen, Nupur Gupta","Techstars Bangalore Accelerator, Techstars",1000000.0,Unknown Stage
Prolixr,2018,Gurugram,Manufacturing,A premium skincare brand committed towards building innovative skin care wellness.,"Aditya Sharma, Jayesh Hans","Alfa Ventures, Divij Bajaj",3000000.0,Seed
Byju's,2011,Bangalore,Education,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Byju Raveendran, Divya Gokulnath","Owl Ventures, Tiger Global Management",200000000.0,Unknown Stage
DaMENSCH,2018,Bangalore,E-commerce,DaMENSCH is a designer and seller of men's apparel.,"Anurag Saboo, Gaurav Pushkar","Whiteboard Capital, Matrix Partners India",6000000.0,Unknown Stage
Country Delight,2015,Haryana,Food and Beverages,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep.,"Chakradhar Gade, Nitin Kaushal","Orios Venture Partners, Matrix Partners India",25000000.0,Series C
SignalX,2018,Hyderabad,Technology,SignalX offers an artificial intelligence-powered SaaS platform,"Govind Balachandran, Zakir Wahab, Piyush Arora","9Unicorns, 3Lines VC, Hyderabad Angels",800000.0,Seed
Lancify,2018,Bangalore,Education,Lancify is building the world's strongest young workforce,"Gowtham Sundaresan, Azan Barodawala","Techstars, Techstars Bangalore Accelerator",300000.0,Unknown Stage
Krimanshi,2015,Jodhpur,Technology,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,Nikhil Bohra,"Rajasthan Venture Capital Fund, AIM Smart City",600000.0,Seed
Instoried,2018,Bangalore,Technology,Instoried is an augmented writing platform which improves customer interest and engagement.,"Sharmin Ali, Sutanshu Raj","Venture Catalysts, SOSV",1000000.0,Pre-Series
PlayerzPot,2015,Mumbai,Technology,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes","Yogesh, Mitesh Gangar",unknown,3000000.0,Series A
Instamojo,2012,Bangalore,Finance,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.","Aditya Sengupta, Akash Gehani, Harshad Sharma, Sampad Swain","BASE, Gunosy Capital",3000000.0,Unknown Stage
Turtlemint,2015,Mumbai,Health,Turtlemint has built Indian personalized insurance platform,"Anand Prabhudesai, Dhirendra Mahyavanshi, Kunal Shah","Nexus Venture Partners, Dream Incubator",30000000.0,Unknown Stage
Arata,2017,New Delhi,E-commerce,Arata is an e-commerce site for beauty products and cosmetics.,"Dhruv Madhok, Dhruv Bhasin",DSG Consumer Partners,1000000.0,Pre-Series
MPL,2018,Bangalore,Technology,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,"Sai Srinivas Kiran G, Shubham Malhotra","Pegasus Tech Ventures, Base Partners",5000000.0,Unknown Stage
True Balance,2014,Gurugram,Finance,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,"Cheolwon Lee, Jay Yi, Martin Lee","IBK Capital, SB Partners",28000000.0,Unknown Stage
Thrive,2020,Mumbai,Food and Beverages,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.","Dhruv Dewan, Krishi Fagwani","Whiteboard Capital, Ahimsa Capital",3000000.0,Pre-Series
Kitchens Centre,2019,New Delhi,Technology,Kitchens Centre offers turnkey solutions to cloud kitchens.,Lakshay Jain,"Jonathan Swanson, Ankush Gera",3000000.0,Pre-Series
Prescribe,2019,Chennai,Health,Provide online services to patients by leveraging WhatsApp.,Nived Narayanan,Titan Capital,100000.0,Unknown Stage
Nepra,2006,Ahmedabad,Health,NEPRA Resource Management provides waste management solutions in India.,Sandeep Patel,"Asha Impact, Aavishkaar Venture Capital",18000000.0,Series C
inFeedo,2013,Gurugram,Technology,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",Tanmaya Jain,"Peyush Bansal, Ritesh Malik",3200000.0,Unknown Stage
Shilpa Sciences,2014,Bangalore,Health,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,Ashwin Lal,AngelList India,3000000.0,Pre-Series
Arzooo,2016,Bangalore,Technology,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product","Khushnud Khan, Rishi Raj Rathore","3Lines, Jabbar Internet Group",3000000.0,Unknown Stage
